l’âge,de leeftijd
se limiter,zich beperken
une mise de départ,een startkapitaal
la moule,de mossel
parier,wedden
passer à côté de,niet in overeenstemming zijn met
la précaution,de voorzorg
le prétexte,het voorwendsel
le trou,het gat
le rocher,de rots
bicentenaire,tweehonderdjarig
être reçu,geslaagd zijn
l’épreuve écrite (v),het schriftelijke examen
l’éternité (v),de eeuwigheid
l’Hexagone (m),Frankrijk
l’inégalité (v),de ongelijkheid
l’institution (v),de instelling
la perte de temps,het tijdverlies
le bachelier,iemand met een diploma van de middelbare school
le privilégié,de bevoorrechte
le rempart,de wal
rendre sa copie,zijn werk inleveren
de beroepskeuzetest,le test d’orientation professionnelle
de beurs (bijeenkomst),le salon
de beurs (financieel),la bourse
de brochure,la brochure
de decaan,le conseiller d’orientation
de faculteit,la fac
de keuze,le choix
de open dag,la journée portes ouvertes
de opleiding,la formation
"de raad, de tip",le conseil
de toekomstplannen,les projet d’avenir
een stagiair(e),un stagiaire
een universiteit,une université
Dat wil ik niet!,Je ne veux pas de cela !
Dit is een baan met toekomst.,C’est un emploi plein d’avenir.
Ik ben blij dat,Je suis content(e) que … (+ subjonctif)
Ik heb nog geen keuze gemaakt.,Je n’ai pas encore fait de choix.
Ik wil dat,Je veux que … (+ subjonctif)
Ik wil graag dierenarts worden.,J’aimerais devenir vétérinaire.
Ik zou graag op kamers willen gaan.,J’aimerais habiter une chambre.
Je hebt nog tijd genoeg om na te denken.,Tu as encore le temps de réfléchir.
Lijkt je dat wat?,Ça te dit quelque chose ?
Veel dingen interesseren mij.,Beaucoup de choses m’intéressent.
Je hebt een specifieke opleiding nodig.,Il te faut une formation spéciale.
Weet je al wat je wilt studeren?,Tu sais déjà quelles études tu veux faire ?
bereikbaar,accessible
daar bovenop,en plus
het erfgoed,le patrimoine
gehuisvest zijn,être logé
het kantoor,l’agence
les krijgen in,être formé à
omgeven door,bordé de
een onderkomen,un hébergement
een ruimte,un espace
uitgerust zijn met,être équipé de
Alles wat het team aanbiedt.,Tout ce que l’équipe offre.
De reis is niet inbegrepen.,Le voyage n’est pas compris.
Het accent ligt op,L’accent est mis sur
Het klimaat is er aangenaam.,Le climat y est agréable.
Het verblijf omvat,Le séjour comprend
Het werk gaat verder met,Le travail se prolonge par
Ideeën om u te ontspannen.,Des idées pour vous divertir.
In een eenpersoonskamer.,En chambre individuelle.
In het midden van de stad.,Au coeur de la ville.
Op uw aanvraag.,Sur votre demande.
Wij zijn bij een gastgezin ondergebracht.,Nous sommes logés en famille d’accueil.
U kiest wat u wilt doen.,Vous choisissez ce que vous voulez faire.
à part,afgezien van
au delà de,meer nog dan
extraterrestre,buitenaards
la case,de hut
la cendre,de as
la parure,de tooi
la préoccupation,de zorg
le comble,het toppunt
le drap,het laken
le rassemblement,de bijeenkomst
ne pas quitter des yeux,zijn ogen niet afhouden van
on ne peut plus simple,allereenvoudigst
pester,schelden
prendre soin de,zorgen voor
à travers,door
attachant,aantrekkelijk
avoir beau être,kunnen dan wel
bouleverser,ingrijpend veranderen
empêcher,verhinderen
être à mille lieues de,heel ver weg zijn van
l’accumulation (v),de opeenstapeling
le barrage,de stuwdam
les ennuis (m),de problemen
les ordures (v),het vuil
se mettre à,beginnen met
hériter,erven
la succession,de opvolging
le rapport,het verband
le territoire,het grondgebied
mener la rébellion,de opstand leiden
régner,regeren
avoir l’embarras du choix,niet weten wat men kiezen moet
fonder sur,baseren op
le domaine,het gebied
les débouchés (m),de toekomstmogelijkheden
mener à,leiden naar
se tourner vers,zich richten op
envieux,jaloers
l’appel (m),de oproep
l’employé(e),de werknemer
l’insulte (v),de belediging
le cauchemar,de nachtmerrie
le réveil,de wekker
alom aanwezig,omniprésent
de bezienswaardigheden,les sites d’intérêts
een uitwisselingsprogramma,un programme d’échange
een verbeterpunt,un point d’amélioration
een zeer oude stad,une cité antique
het landschap strekt zich uit,le paysage s’étend
ik vond de stad erg leuk,la ville m’a beaucoup plu
ik wil jullie graag bedanken,je voudrais vous remercier
om te ontdekken,à découvrir
een kindervoorstelling maken,créer un spectacle enfants
gezellig,convivial
een fijne vakantie bezorgen,offrir des vacances agréables
iemand raad geven,donner un conseil à quelqu'un
kinderen vermaken,divertir des enfants
samenwerken,travailler en équipe
dat heeft de meeste indruk op mij gemaakt,cela m'a le plus marqué
een concentratiekamp,un camp de concentration
het meest aangrijpend,le plus émouvant
het is angstaanjagend,c’est angoissant
ik voelde me opgesloten,je me sentais emprisonné(e)
bericht ontvangen,recevoir des nouvelles
het doel van deze stage,l’objectif de ce stage
het was teleurstellend,c’était décevant
iets leren van,apprendre quelque chose de
ik heb stage gelopen,j’ai effectué un stage
kennismaken met,faire connaissance avec
als ik jou was,si j’étais toi
een beroepsopleiding,une formation professionnelle
het hoger onderwijs,l’éducation supérieure
het volstaat om,il suffit de
ik zou goed checken,je vérifierais bien
men heeft ingesteld,on a instauré
naar aanleiding van,suite à
praktische tips geven,donner des conseils pratiques
afnemen,diminuer
de softdrugs,les drogues douces
drugs gebruiken,se droguer
ik ben voor,je suis pour
ik ben tegen,je suis contre
ik geloof dat,je crois que
ik denk dat,je pense que
ik vind dat,je trouve que
je moet verbieden,il faut interdire
misbruik maken van,abuser de
de stomme film,le cinéma muet
een geslaagd concert,un concert réussi
een verspilling van tijd,une perte de temps
goed gespeeld,bien joué
slecht gespeeld,mal joué
het gaat over,il s’agit de
het verhaal is voorspelbaar,l’histoire est prévisible
je moet het boek echt lezen,c’est un livre à lire absolument
kortom,en résumé
koste wat kost,à tout prix
verbluffend,époustouflant
een meesterwerk,un chef d’oeuvre
hedendaags,contemporain
het schilderij,le tableau
het was een teleurstelling,c’était une déception
een onderzoek doen,faire une recherche
er bestaan,il existe
er zijn,il y a
in het algemeen,en général
men ziet ons als,on nous voit comme
vooroordelen hebben,avoir des préjugés
worden beschouwd als,être jugé comme
zij associëren ons met,ils nous associent à
dat zou mij een groot plezier doen,cela me ferait un grand plaisir
de kennis van het Frans,la connaissance du français
het leren van talen,l’apprentissage des langues
ik richt me tot u over,je m’adresse à vous à propos de
ik verzoek u contact met mij op te nemen,je vous prie de prendre contact avec moi
enkele inlichtingen vragen,demander quelques renseignements
kunt u mij aangeven,pourriez-vous m’indiquer
uw advertentie heeft mijn aandacht getrokken,votre annonce a retenu mon attention
zou het mogelijk zijn om,serait-il possible de
zou u mij kunnen helpen?,pourriez-vous m’aider ?
dat kan nuttig zijn voor,cela peut être utile pour
het stelt je in staat om,ça permet de
iemand geruststellen,rassurer quelqu’un
iemand raadplegen,consulter quelqu’un
overwegen om,envisager de
veel over jezelf leren,apprendre beaucoup sur soi
als bijlage,en annexe
een gastheer,un hôte
een gastvrouw,une hôtesse
ik stuur u mijn cv,je vous envoie mon C.V.
ik denk dat ik beschik over,je crois posséder
de vereiste kwaliteiten,les qualités requises
solliciteren naar een baan,postuler un poste
vloeiend een taal spreken,parler couramment une langue
de beheersing van het Frans,la maîtrise du français
een uitstekende voorbereiding,une préparation excellente
ervaring hebben,avoir de l’expérience
in afwachting van uw antwoord,dans l’attente de votre réponse
op internationale schaal,à l’échelle internationale
samenwerken met,travailler en collaboration avec
consensuel,dezelfde mening toegedaan
l’activité cérébrale,de hersenactiviteit
la nutrition,de voeding
le cerveau,de hersenen
s’apercevoir que,bemerken dat
se contenter de,zich tevredenstellen met
un acquis,een verworvenheid
une expérience,een proef
en cabinet médical,bij de huisarts
être en aisance respiratoire,makkelijk kunnen ademhalen
éveillé,wakker
la fréquence cardiaque,de hartslag
la marche rapide,het snelwandelen
la musculation,de krachttraining
la perte de poids,het gewichtsverlies
les maladies cardiovasculaires,de hart- en vaatziekten
peaufiner,verfijnen
alimenter,voeden
être en mesure de,in staat zijn om
la conscience spatiale,het ruimtelijk inzicht
la faculté,het vermogen
le jeu de mémoire,het geheugenspel
le nerf crânien,de hersenzenuw
"mâcher, mastiquer",kauwen (op)
perceptif et cognitif,van waarneming en kennis
propice,geschikt
empailler,opzetten (van dode dieren)
le chien de garde,de waakhond
le chiot,de pup
contourner,omzeilen
des pelles et des râteaux,scheppen en harken
ensablé,onder zand bedolven
la ligne de départ,de startlijn
la navigation à l’ancienne,de ouderwetse navigatie
placer un point,een punt markeren
prendre cap,koers zetten
un carnet de bord,het verslag
un orphelinat,een weeshuis
une erreur de pilotage,een stuurfout
une intempérie,het slechte weer
allécher,verleiden
la convivialité,de gezelligheid
la télécabine,de kabelbaan
le sac de couchage,de slaapzak
les raquettes,de sneeuwschoenen
s’initier à,ingewijd worden in
un frileux,een koukleum
abîmer,beschadigen
astiquer,afstoffen
effrayant,afschrikwekkend
feuilleter,(door)bladeren
foncer,rennen
le bout du doigt,het vingertopje
le cartable,de schooltas
le / la sténodactylo,de stenotypist(e)
puiser dans,putten uit
susceptible de plaire,die zouden kunnen bevallen
tenir à coeur,gek zijn op
un orgelet sur l’oeil,een oogstrontje
une ampoule,een gloeilamp
bruyant,luidruchtig
céder,afstaan
couper la file,voordringen in een rij
faire défaut,ontbreken
la lenteur,de traagheid
la précipitation,de haast
le cas échéant,indien noodzakelijk
le rayon,het schap
or,welnu
prendre son mal en patience,lijdzaam afwachten
un impératif majeur,een zeer dringende reden
l’admission,de toelating
l’anxiété,de angst
l’infirmière,de verpleegster
la coutume,de gewoonte
les troubles,de stoornis
à la portée de,binnen het bereik van
à toute allure,in volle vaart
baptiser,dopen
en aucun cas,in geen enkel geval
l’indulgence,de toegevendheid
s’inquiéter,zich ongerust maken over
la lingette,het reinigingsdoekje
la poignée,het handvat
la serviette,de handdoek
le coude,de elleboog
le gant,de handschoen
le séchoir,de droger
les germes,de (ziekte)kiemen
respiratoire,van de luchtwegen
une cacahuète,een pinda
au fur et à mesure,geleidelijk aan
décanter,laten bezinken
envisager le monde,de wereld beschouwen
l’héritage,de erfenis
pas forcément,niet per se
à la rame,roeiend
dégrader,verslechteren
l’acidification,het verzuren
l’émission,de uitstoot
la fonte,het smelten
la survie,het overleven
le défi,de uitdaging
les déchets,het afval
marin(e),van de zee
sourd,doof
le cochon,het varken
la graisse,het vet
l’évier,de gootsteen
les égoûts,de riolen
boucher,verstoppen
le navire,het schip
déclencher,teweegbrengen
repérer,ontdekken
chasser,(ver)jagen
l’artisan,de vakman
l’imprimerie,de drukkerij
la notoriété,de bekendheid
avoir recours à,zijn toevlucht nemen tot
de telle sorte que,zodat
entrer en collision avec,botsen met
l’inertie,de traagheid
la diposition,de indeling
la touche,de toets
le gain,de winst
ralentir,vertragen
cesser de,ophouden met
en faire autant,hetzelfde doen
inépuisable,onuitputtelijk
la marchandise,de waar
se résoudre à,zich neerleggen bij
à l’échelle de,op het niveau van
au fil du temps,in de loop van de tijd
être à l’origine de,de oorzaak zijn van
excepté,uitgezonderd
l’accès,de toegang
la mention,de vermelding
le ménage,het huishouden
le revenu,de inkomsten
les proches,de naasten
recruter,werven
le boulot,het werk
l’enveloppe,het omhulsel
se moquer de,je niets aantrekken van
le partisan,de aanhanger
la prise de position,de stellingname
voler au secours,te hulp schieten
l’appréhension,de vrees
la contrainte,de dwang
l’embouteillage,de file
fouiller,doorzoeken
traîner,slepen
en cas de,in geval van
inciter à,aanzetten tot
l’encouragement,de aanmoediging
la célébration,het feest
la charité,de liefdadigheid
la glorification,de verheerlijking
la mesure,de maatregel
la préservation,het behoud
le maire,de burgemeester
mendier,bedelen
conquérir,veroveren
dévoiler,ontsluieren
inédit,volkomen nieuw
l’ancêtre,de voorouder
l’audace,de durf
l’hommage,het eerbetoon
la tenue légère,de lichte kleding
le cinéphile,de filmliefhebber
promouvoir,promoten
s’efforcer de,zijn uiterste best doen
se dérouler,plaatsvinden
approximatif,ruw geschat
indispensable,onontbeerlijk
l’oeuvre,het (kunst)werk
l’outil,de gereedschap
le mépris,de minachting
Dat is jammer. / Het spijt me.,Je regrette.
Dat is niet erg.,Ce n’est pas grave.
Dat is niet normaal.,Ce n’est pas normal.
Dat is stom.,C’est bête.
Ik aanvaard je / uw excuses.,J’accepte tes excuses.
Ik heb er genoeg van!,J’en ai marre !
Laten we het vergeten.,Oublions-le.
Maak je / u niet ongerust!,Ne t’inquiète pas !
Zand erover.,N’en parlons plus.
Geniet ervan!,Profites-en !
Heb je zin om,As-tu envie de
Heeft u nog andere vragen?,Vous avez encore d’autres questions ?
Ik begrijp niet wat u zegt.,Je ne comprends pas ce que vous dites.
Ik zou graag willen weten,J’aimerais savoir
Je moet het niet opgeven.,Il ne faut pas abandonner.
Wat ben ik blij!,Que je suis content !
Zou je langzamer kunnen praten?,Pourrais-tu parler plus lentement ?
"Als ik beweeg, heb ik pijn.",Bouger me fait mal.
de pijn verlichten,soulager la douleur
Er is niets ernstigs.,Il n’y a rien de grave.
Heeft u uw temperatuur opgemeten?,Vous avez pris votre température ?
Ik ben duizelig.,La tête me tourne.
Maar doe toch maar voorzichtig!,Mais faites quand même attention !
Wat kan ik voor u doen?,Qu’est-ce que je peux faire pour vous ?
Wees voorzichtig!,Sois prudent !
zalf aanbrengen,appliquer de la pommade
Ik heb geen keuze.,Je n’ai pas le choix.
Ik wil dat u me een nieuwe factuur opstuurt.,Je veux que vous m’envoyiez une nouvelle facture.
Ik wil een klacht indienen.,Je veux porter plainte.
Is er iets gebeurd met het apparaat?,Il s’est passé quelque chose avec l’appareil ?
Kunt u het probleem verhelpen?,Pourriez-vous résoudre le problème ?
Wat is de levertijd van,Quel est le délai de livraison de
Hoe zie je,Comment vois-tu
Ik ben van plan om,J’ai l’intention de
Ik ga drie keer per week uit.,Je sors trois fois par semaine.
Ik twijfel nog tussen,J’hésite encore entre
Ik weet het nog niet precies.,Je ne (le) sais pas encore exactement.
Ik wil een jaar naar het buitenland.,J’aimerais partir une année à l’étranger.
Is er kost en inwoning?,Est-ce que je serai nourri et logé ?
Is geld belangrijk voor jou?,"L’argent, est-ce important pour toi ?"
Waarom wil je dat graag doen?,Pourquoi aimerais-tu faire ça ?
Wat wil jij graag doen over tien jaar?,Qu’est-ce que tu aimerais faire dans dix ans ?
Ik gebruik vaak sociale media.,J’utilise souvent les médias sociaux.
Ik zal jullie mijn mening geven.,Je vais vous donner mon opinion.
Ik zit vijf uur per week op internet.,Je suis connecté cinq heures par semaine.
In deze tekst gaat het over,Dans ce texte il s’agit de
Over welk boek wil jij praten?,De quel livre veux-tu parler ?
Waarover wil jij praten?,Tu veux parler de quoi ?
Het beperkt je sociale leven.,Ça restreint ta vie sociale.
"Ik denk dat jij ongelijk hebt,","Je pense que tu as tort,"
Ik durf het niet te zeggen.,Je ne saurais pas dire.
Ik ga minder tijd aan internet besteden.,Je vais consacrer moins de temps à internet.
Ik heb heel wat argumenten tegen die stelling.,J’ai pas mal d’arguments contre cette position.
"Ik neem geen stelling in, omdat","Je ne prends pas (de) position, parce que"
"Jij hebt helemaal gelijk, maar","Tu as tout à fait raison, mais"
Hoeveel ga ik verdienen?,Quel sera mon salaire ?
"Ik ben zelfstandig, maar werk ook goed samen in een team.","Je suis autonome, mais je travaille bien aussi dans une équipe."
Ik denk te voldoen aan de gestelde eisen.,Je pense avoir les qualités demandées.
Ik heb de advertentie op internet gevonden.,J’ai trouvé l’annonce sur internet.
Ik leer snel.,J’apprends vite.
Ik wil een jaar iets anders doen.,Je veux faire autre chose pendant un an.
Is dat genoeg om de huur mee te betalen?,Ça suffit pour payer le loyer ?
U heeft een goede indruk gemaakt.,Vous avez fait une bonne impression.
aspirer à,streven naar
confirmer,bevestigen
de loin,verreweg
déranger,storen
en partie,gedeeltelijk
encourageant,bemoedigend
évident,vanzelfsprekend
être lié à,verbonden zijn met
l’adversaire,de vijand
le vide,de leegte
ouvertement,openlijk
sûrement,zeker
apprécier,waarderen
façonner,vormgeven
ignorer,niet weten
incontournable,waar je niet omheen kunt
l’internaute (m/v),de internetgebruiker
le concepteur,de uitvinder
s’additionner à,erbij komen
s’afficher,zich in het openbaar vertonen
se lasser de,genoeg krijgen van
se répandre,zich verspreiden
avide,gretig
consacrer à,wijden aan
entretenir,onderhouden
être de passage,op doorreis zijn
indiquer,aanwijzen
l’obligation,de verplichting
l’outil (m),het gereedschap
la thèse d’État,het proefschrift
le cadre,de leidinggevende
le correspondant,de penvriend
le réfugié politique,de politieke vluchteling
le solitaire,de eenling
savourer,genieten van
se bousculer,zich verdringen
surnommé,bijgenaamd
acquérir,verkrijgen
l’apparence (v),het uiterlijk
le cadavre,het lijk
le conte,het verhaal
décéder,overlijden
embrasser,kussen
s’entraîner,trainen
impressionner,indruk maken
macabre,luguber
le marbre,het marmer
le masque mortuaire,het dodenmasker
mou,zacht
le moulage,de afdruk
se noyer,verdrinken
quoi qu’il en soit,hoe het ook zij
ramasser,verzamelen
repêcher,uit het water halen
résistant,sterk
le secouriste,de EHBO'er
singulier,vreemd
la vitre,het raam
être à son compte,eigen baas zijn
être admis,toegelaten worden
gagner sa vie,zijn brood verdienen
l’astuce,het trucje
l’infirmier,de verpleegkundige
la gestion,het beheer
le conseil,het advies
le médecin généraliste,de huisarts
prendre le dessus,de overhand krijgen
quasiment,bijna
contemporain,hedendaags
continuer à,doorgaan
être embarrassé,in verlegenheid brengen
être enceinte,zwanger zijn
l’arrêt maladie (m),het ziekteverlof
la caisse de retraite,het pensioenfonds
la plupart des gens,de meeste mensen
le congé maternité,het zwangerschapsverlof
être d’accord sur,het eens zijn over
l’agriculteur (m),de landbouwer
l’artisan (m),de vakman
l’élection (v),de verkiezing
le dirigeant,de leider
les frais (m),de kosten
plutôt que,eerder dan
l’estime de soi (v),het zelfrespect
l’inverse (m),het tegenovergestelde
la perte,het verlies
le deuil,de rouw
le doute,de twijfel
le processus,het proces
pénible,pijnlijk
proche de,dichtbij
rester attaché à,vasthouden aan
se plonger dans,zich storten in
se séparer de,afstand doen van
à force de,door steeds maar te
couvert de,bedekt met
grandir avec,opgroeien met
le geste,het gebaar
le mouvement artistique,de kunststroming
le wagon,het rijtuig
